                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.90208,                0.59567,                 1.3999,                0.95112,                0.99788,                0.99203,                0.76124,                0.88848,                0.50717,                 1.6775,              0.0009704,              0.0009704,              0.0009704
                     54,                0.89304,                0.58385,                   1.38,                0.99824,                      1,                  0.995,                0.74571,                0.96847,                0.45751,                 1.7837,              0.0009506,              0.0009506,              0.0009506
                     55,                0.88814,                0.56758,                 1.3868,                 0.9977,                      1,                  0.995,                 0.7577,                0.98493,                0.46963,                 1.8207,              0.0009308,              0.0009308,              0.0009308
                     56,                0.81463,                0.50796,                 1.3449,                0.99235,                      1,                  0.995,                0.76412,                0.93573,                0.47165,                 1.7407,               0.000911,               0.000911,               0.000911
                     57,                0.88575,                0.53658,                 1.3987,                0.94794,                      1,                0.99375,                0.76505,                0.93051,                0.47375,                 1.7243,              0.0008912,              0.0008912,              0.0008912
                     58,                0.84314,                0.54501,                 1.3447,                0.99563,                0.97436,                0.99314,                0.75158,                 0.9906,                 0.4969,                 1.8303,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.7911,                0.51445,                  1.303,                0.99829,                0.97436,                0.99402,                0.75699,                0.92827,                0.42204,                 1.7581,              0.0008516,              0.0008516,              0.0008516
                     60,                0.78938,                0.47733,                 1.2922,                      1,                0.99912,                  0.995,                0.77073,                0.88432,                0.41285,                 1.6858,              0.0008318,              0.0008318,              0.0008318
                     61,                  0.818,                 0.5315,                 1.3217,                0.99829,                      1,                  0.995,                0.77033,                0.89298,                0.42258,                  1.678,               0.000812,               0.000812,               0.000812
                     62,                0.80685,                0.51539,                 1.3054,                0.99729,                      1,                  0.995,                0.72044,                 1.0213,                0.47316,                 1.8073,              0.0007922,              0.0007922,              0.0007922
                     63,                0.77783,                0.48948,                 1.2633,                0.99774,                      1,                  0.995,                0.74011,                0.97338,                 0.4407,                 1.7835,              0.0007724,              0.0007724,              0.0007724
                     64,                0.79996,                0.47427,                 1.3451,                0.99881,                      1,                  0.995,                 0.7463,                0.97387,                0.44464,                 1.7869,              0.0007526,              0.0007526,              0.0007526
                     65,                0.80106,                0.49976,                 1.3061,                      1,                0.99751,                  0.995,                0.76038,                0.94092,                0.41925,                 1.7696,              0.0007328,              0.0007328,              0.0007328
                     66,                0.79379,                0.49705,                 1.3224,                0.99502,                0.97436,                 0.9945,                0.78091,                0.92092,                0.43253,                 1.7119,               0.000713,               0.000713,               0.000713
                     67,                0.76305,                0.46464,                 1.2816,                      1,                 0.9949,                  0.995,                0.77002,                0.96322,                0.45597,                 1.7282,              0.0006932,              0.0006932,              0.0006932
                     68,                0.74995,                0.46338,                 1.2564,                0.99695,                      1,                  0.995,                0.74481,                 1.0124,                0.42564,                 1.8353,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.7579,                0.46946,                 1.2693,                0.99761,                      1,                  0.995,                0.75096,                 0.9615,                0.41742,                 1.8154,              0.0006536,              0.0006536,              0.0006536
                     70,                0.77088,                0.49241,                 1.2817,                 0.9977,                      1,                  0.995,                0.76164,                0.93193,                0.41788,                 1.7845,              0.0006338,              0.0006338,              0.0006338
                     71,                0.74762,                0.48788,                 1.3006,                0.99692,                      1,                  0.995,                0.76546,                0.93705,                0.44284,                 1.7912,               0.000614,               0.000614,               0.000614
                     72,                0.75936,                0.46663,                 1.2927,                0.99944,                      1,                  0.995,                0.76177,                0.95104,                0.45328,                 1.7915,              0.0005942,              0.0005942,              0.0005942
                     73,                0.70751,                0.45435,                 1.2813,                 0.9983,                      1,                  0.995,                0.75504,                0.92084,                0.41319,                 1.7257,              0.0005744,              0.0005744,              0.0005744
                     74,                0.68682,                0.43802,                 1.2402,                0.99932,                      1,                  0.995,                0.74904,                0.94548,                0.40478,                 1.7449,              0.0005546,              0.0005546,              0.0005546
                     75,                0.71445,                0.45927,                 1.2566,                0.99895,                      1,                  0.995,                0.75649,                 0.9573,                0.40712,                 1.7745,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.7355,                0.45438,                 1.2944,                0.99755,                0.97436,                 0.9945,                0.73884,                0.96422,                0.40601,                 1.7883,               0.000515,               0.000515,               0.000515
